
time 04h 35m 42s, episodes 7932, frames 3.6M, mean epr 126.16, run loss 297.56
time 04h 36m 43s, episodes 7949, frames 3.6M, mean epr 126.49, run loss 300.41
time 04h 37m 44s, episodes 7965, frames 3.6M, mean epr 128.14, run loss 306.95
time 04h 38m 45s, episodes 7982, frames 3.6M, mean epr 132.99, run loss 318.60
time 04h 39m 45s, episodes 7999, frames 3.6M, mean epr 134.23, run loss 319.38
time 04h 40m 45s, episodes 8009, frames 3.6M, mean epr 133.91, run loss 318.73
time 04h 41m 46s, episodes 8024, frames 3.6M, mean epr 145.42, run loss 336.81
time 04h 42m 47s, episodes 8040, frames 3.7M, mean epr 149.92, run loss 343.01
time 04h 43m 47s, episodes 8062, frames 3.7M, mean epr 135.40, run loss 314.53
time 04h 44m 47s, episodes 8090, frames 3.7M, mean epr 120.07, run loss 284.97
time 04h 45m 48s, episodes 8114, frames 3.7M, mean epr 106.77, run loss 262.43
time 04h 46m 48s, episodes 8141, frames 3.7M, mean epr 89.58, run loss 229.60
time 04h 47m 48s, episodes 8162, frames 3.7M, mean epr 89.41, run loss 232.55
time 04h 48m 48s, episodes 8187, frames 3.7M, mean epr 82.82, run loss 222.20
time 04h 49m 48s, episodes 8205, frames 3.7M, mean epr 75.48, run loss 212.16
time 04h 50m 49s, episodes 8220, frames 3.8M, mean epr 83.65, run loss 227.98
time 04h 51m 49s, episodes 8243, frames 3.8M, mean epr 84.44, run loss 231.31
time 04h 52m 49s, episodes 8262, frames 3.8M, mean epr 85.18, run loss 234.93
time 04h 53m 49s, episodes 8281, frames 3.8M, mean epr 86.54, run loss 239.38
time 04h 54m 50s, episodes 8308, frames 3.8M, mean epr 80.33, run loss 223.91
time 04h 55m 51s, episodes 8334, frames 3.8M, mean epr 74.24, run loss 210.26
time 04h 56m 51s, episodes 8363, frames 3.8M, mean epr 62.94, run loss 189.13
time 04h 57m 52s, episodes 8409, frames 3.9M, mean epr 47.71, run loss 150.66
time 04h 58m 52s, episodes 8440, frames 3.9M, mean epr 39.92, run loss 135.60
time 04h 59m 52s, episodes 8460, frames 3.9M, mean epr 38.37, run loss 135.71
time 05h 00m 52s, episodes 8479, frames 3.9M, mean epr 50.60, run loss 161.58
time 05h 01m 52s, episodes 8513, frames 3.9M, mean epr 45.90, run loss 151.19
time 05h 02m 52s, episodes 8545, frames 3.9M, mean epr 40.04, run loss 140.63
time 05h 03m 53s, episodes 8572, frames 3.9M, mean epr 38.25, run loss 140.23
time 05h 04m 55s, episodes 8596, frames 3.9M, mean epr 37.32, run loss 139.84
time 05h 05m 56s, episodes 8618, frames 4.0M, mean epr 46.21, run loss 158.76
time 05h 06m 56s, episodes 8636, frames 4.0M, mean epr 49.07, run loss 164.70
time 05h 07m 58s, episodes 8667, frames 4.0M, mean epr 51.18, run loss 167.96
time 05h 08m 58s, episodes 8696, frames 4.0M, mean epr 43.76, run loss 152.12
time 05h 09m 59s, episodes 8720, frames 4.0M, mean epr 41.16, run loss 148.28
time 05h 10m 59s, episodes 8741, frames 4.0M, mean epr 45.23, run loss 159.56
time 05h 11m 59s, episodes 8752, frames 4.0M, mean epr 57.62, run loss 182.26
time 05h 13m 01s, episodes 8778, frames 4.0M, mean epr 72.75, run loss 209.94
time 05h 14m 01s, episodes 8796, frames 4.1M, mean epr 66.60, run loss 200.22
time 05h 15m 02s, episodes 8812, frames 4.1M, mean epr 72.77, run loss 212.20
time 05h 16m 03s, episodes 8839, frames 4.1M, mean epr 74.50, run loss 212.84
time 05h 17m 04s, episodes 8876, frames 4.1M, mean epr 63.20, run loss 186.44
time 05h 18m 05s, episodes 8904, frames 4.1M, mean epr 54.10, run loss 169.28
time 05h 19m 05s, episodes 8944, frames 4.1M, mean epr 43.38, run loss 144.18
