
time 02h 13m 01s, episodes 6792, frames 3.7M, mean epr 0.00, run loss -2.80
time 02h 14m 01s, episodes 6848, frames 3.7M, mean epr 0.00, run loss -2.81
time 02h 15m 01s, episodes 6894, frames 3.7M, mean epr 0.00, run loss -2.89
time 02h 16m 02s, episodes 6950, frames 3.7M, mean epr 0.00, run loss -2.93
time 02h 17m 03s, episodes 7009, frames 3.7M, mean epr 0.00, run loss -2.77
time 02h 18m 03s, episodes 7063, frames 3.7M, mean epr 0.00, run loss -2.85
time 02h 19m 04s, episodes 7119, frames 3.7M, mean epr 0.00, run loss -2.73
time 02h 20m 05s, episodes 7177, frames 3.7M, mean epr 0.00, run loss -2.71
time 02h 21m 06s, episodes 7238, frames 3.8M, mean epr 0.00, run loss -2.53
time 02h 22m 08s, episodes 7287, frames 3.8M, mean epr 0.00, run loss -2.75
time 02h 23m 08s, episodes 7335, frames 3.8M, mean epr 0.00, run loss -2.98
time 02h 24m 09s, episodes 7395, frames 3.8M, mean epr 0.00, run loss -2.95
time 02h 25m 09s, episodes 7455, frames 3.8M, mean epr 0.00, run loss -2.82
time 02h 26m 09s, episodes 7509, frames 3.8M, mean epr 0.00, run loss -2.77
time 02h 27m 09s, episodes 7563, frames 3.8M, mean epr 0.00, run loss -2.73
time 02h 28m 10s, episodes 7611, frames 3.9M, mean epr 0.00, run loss -3.00
time 02h 29m 11s, episodes 7664, frames 3.9M, mean epr 0.00, run loss -3.08
time 02h 30m 11s, episodes 7722, frames 3.9M, mean epr 0.00, run loss -2.94
time 02h 31m 12s, episodes 7776, frames 3.9M, mean epr 0.00, run loss -2.98
time 02h 32m 12s, episodes 7827, frames 3.9M, mean epr 0.00, run loss -3.02
time 02h 33m 12s, episodes 7877, frames 3.9M, mean epr 0.00, run loss -3.04
time 02h 34m 12s, episodes 7933, frames 3.9M, mean epr 0.00, run loss -2.99
time 02h 35m 13s, episodes 7982, frames 3.9M, mean epr 0.00, run loss -3.04
time 02h 36m 13s, episodes 8044, frames 4.0M, mean epr 0.00, run loss -2.79
time 02h 37m 14s, episodes 8098, frames 4.0M, mean epr 0.00, run loss -2.95
time 02h 38m 14s, episodes 8150, frames 4.0M, mean epr 0.00, run loss -3.03
time 02h 39m 14s, episodes 8208, frames 4.0M, mean epr 0.00, run loss -2.96

	4M frames: saved model

time 02h 40m 14s, episodes 8265, frames 4.0M, mean epr 0.00, run loss -2.79
time 02h 41m 14s, episodes 8317, frames 4.0M, mean epr 0.00, run loss -2.81
time 02h 42m 14s, episodes 8373, frames 4.0M, mean epr 0.00, run loss -2.88
time 02h 43m 14s, episodes 8421, frames 4.0M, mean epr 0.00, run loss -2.92
time 02h 44m 15s, episodes 8473, frames 4.1M, mean epr 0.00, run loss -3.00
time 02h 45m 15s, episodes 8532, frames 4.1M, mean epr 0.00, run loss -2.93
time 02h 46m 17s, episodes 8588, frames 4.1M, mean epr 0.00, run loss -2.88
time 02h 47m 17s, episodes 8639, frames 4.1M, mean epr 0.00, run loss -2.93
time 02h 48m 17s, episodes 8695, frames 4.1M, mean epr 0.00, run loss -2.92
time 02h 49m 18s, episodes 8750, frames 4.1M, mean epr 0.00, run loss -2.95
time 02h 50m 18s, episodes 8799, frames 4.1M, mean epr 0.00, run loss -3.07
time 02h 51m 18s, episodes 8847, frames 4.1M, mean epr 0.00, run loss -3.11
time 02h 52m 20s, episodes 8899, frames 4.2M, mean epr 0.00, run loss -3.07
time 02h 53m 20s, episodes 8959, frames 4.2M, mean epr 0.00, run loss -2.96
time 02h 54m 21s, episodes 9007, frames 4.2M, mean epr 0.00, run loss -3.02
time 02h 55m 21s, episodes 9063, frames 4.2M, mean epr 0.00, run loss -3.00
time 02h 56m 23s, episodes 9119, frames 4.2M, mean epr 0.00, run loss -2.99
time 02h 57m 23s, episodes 9171, frames 4.2M, mean epr 0.00, run loss -3.02
